id,name,age
,User_2001,85
2002,User_2002,-1
2003,User_2003,27
2004,User_2004,59
2005,User_2005,37
2006,User_2006,37
2007,User_2007,48
2008,User_2008,45
2009,User_2009,51
2010,User_2010,54
2011,User_2011,92
2012,User_2012,58
2013,User_2013,78
2014,User_2014,43
2015,User_2015,37
2016,User_2016,13
2017,User_2017,57
2018,User_2018,86
2019,User_2019,69
2020,User_2020,75
2021,User_2021,93
2022,User_2022,84
2023,User_2023,36
2024,User_2024,88
2025,User_2025,26
2026,User_2026,52
2027,User_2027,42
2028,User_2028,30
2029,User_2029,93
2030,User_2030,26
2031,User_2031,39
2032,User_2032,88
2033,User_2033,50
2034,User_2034,38
2035,User_2035,85
2036,User_2036,11
2037,User_2037,61
2038,User_2038,26
2039,User_2039,23
2040,User_2040,38
2041,User_2041,20
2042,User_2042,69
2043,User_2043,42
2044,User_2044,17
2045,User_2045,60
2046,User_2046,84
2047,User_2047,83
2048,User_2048,10
2049,User_2049,37
2050,User_2050,73
2051,User_2051,33
2052,User_2052,88
2053,User_2053,68
2054,User_2054,60
2055,User_2055,90
2056,User_2056,92
2057,User_2057,27
2058,User_2058,71
2059,User_2059,54
2060,User_2060,11
2061,User_2061,85
2062,User_2062,95
2063,User_2063,14
2064,User_2064,41
2065,User_2065,62
2066,User_2066,58
2067,User_2067,19
2068,User_2068,19
2069,User_2069,60
2070,User_2070,84
2071,User_2071,20
2072,User_2072,33
2073,User_2073,72
2074,User_2074,91
2075,User_2075,25
2076,User_2076,20
2077,User_2077,10
2078,User_2078,81
2079,User_2079,49
2080,User_2080,93
2081,User_2081,94
2082,User_2082,89
2083,User_2083,92
2084,User_2084,84
2085,User_2085,46
2086,User_2086,35
2087,User_2087,51
2088,User_2088,60
2089,User_2089,10
2090,User_2090,42
2091,User_2091,19
2092,User_2092,63
2093,User_2093,87
2094,User_2094,30
2095,User_2095,40
2096,User_2096,92
2097,User_2097,61
2098,User_2098,28
2099,User_2099,56
2100,User_2100,79
2101,User_2101,83
2102,User_2102,89
2103,User_2103,51
2104,User_2104,15
2105,User_2105,16
2106,User_2106,58
2107,User_2107,92
2108,User_2108,16
2109,User_2109,58
2110,User_2110,64
2111,User_2111,38
2112,User_2112,41
2113,User_2113,87
2114,User_2114,55
2115,User_2115,40
2116,User_2116,30
2117,User_2117,33
2118,User_2118,90
2119,User_2119,41
2120,User_2120,79
2121,User_2121,26
2122,User_2122,23
2123,User_2123,76
2124,User_2124,37
2125,User_2125,88
2126,User_2126,33
2127,User_2127,41
2128,User_2128,70
2129,User_2129,53
2130,User_2130,11
2131,User_2131,32
2132,User_2132,18
2133,User_2133,12
2134,User_2134,70
2135,User_2135,53
2136,User_2136,35
2137,User_2137,14
2138,User_2138,75
2139,User_2139,42
2140,User_2140,78
2141,User_2141,44
2142,User_2142,48
2143,User_2143,92
2144,User_2144,85
2145,User_2145,39
2146,User_2146,46
2147,User_2147,90
2148,User_2148,57
2149,User_2149,58
2150,User_2150,48
2151,User_2151,31
2152,User_2152,89
2153,User_2153,54
2154,User_2154,71
2155,User_2155,93
2156,User_2156,55
2157,User_2157,26
2158,User_2158,68
2159,User_2159,23
2160,User_2160,84
2161,User_2161,56
2162,User_2162,64
2163,User_2163,33
2164,User_2164,33
2165,User_2165,64
2166,User_2166,75
2167,User_2167,79
2168,User_2168,34
2169,User_2169,76
2170,User_2170,91
2171,User_2171,13
2172,User_2172,67
2173,User_2173,58
2174,User_2174,52
2175,User_2175,93
2176,User_2176,93
2177,User_2177,69
2178,User_2178,63
2179,User_2179,28
2180,User_2180,35
2181,User_2181,71
2182,User_2182,11
2183,User_2183,28
2184,User_2184,87
2185,User_2185,93
2186,User_2186,94
2187,User_2187,74
2188,User_2188,62
2189,User_2189,25
2190,User_2190,24
2191,User_2191,92
2192,User_2192,45
2193,User_2193,42
2194,User_2194,60
2195,User_2195,22
2196,User_2196,77
2197,User_2197,42
2198,User_2198,59
2199,User_2199,16
